"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX1468811","GSM1966531: single H9 hESCs differentiated for 96 hours [H9.96h_187]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193800","","102.9","1","3223287","164387637","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468810","GSM1966530: single H9 hESCs differentiated for 96 hours [H9.96h_186]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193801","","18.02","1","491034","25042734","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468809","GSM1966529: single H9 hESCs differentiated for 96 hours [H9.96h_185]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193576","","107.1","1","3403593","173583243","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468808","GSM1966528: single H9 hESCs differentiated for 96 hours [H9.96h_184]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193802","","88.19","1","2786508","142111908","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468807","GSM1966527: single H9 hESCs differentiated for 96 hours [H9.96h_183]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193803","","103.53","1","3258339","166175289","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468806","GSM1966526: single H9 hESCs differentiated for 96 hours [H9.96h_182]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193804","","60.47","1","1746329","89062779","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468805","GSM1966525: single H9 hESCs differentiated for 96 hours [H9.96h_180]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193574","","97.45","1","3109399","158579349","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468804","GSM1966524: single H9 hESCs differentiated for 96 hours [H9.96h_179]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193805","","93.16","1","2971318","151537218","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468803","GSM1966523: single H9 hESCs differentiated for 96 hours [H9.96h_178]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193807","","61.82","1","1939123","98895273","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468802","GSM1966522: single H9 hESCs differentiated for 96 hours [H9.96h_177]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193806","","58.6","1","1871673","95455323","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468801","GSM1966521: single H9 hESCs differentiated for 96 hours [H9.96h_176]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193808","","62.01","1","1966280","100280280","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468800","GSM1966520: single H9 hESCs differentiated for 96 hours [H9.96h_175]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193809","","96.57","1","3036854","154879554","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468799","GSM1966519: single H9 hESCs differentiated for 96 hours [H9.96h_174]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193810","","96.69","1","3047098","155401998","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468798","GSM1966518: single H9 hESCs differentiated for 96 hours [H9.96h_173]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193811","","94.74","1","3020642","154052742","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468797","GSM1966517: single H9 hESCs differentiated for 96 hours [H9.96h_171]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193812","","87.16","1","2769154","141226854","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468796","GSM1966516: single H9 hESCs differentiated for 96 hours [H9.96h_170]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193813","","84.56","1","2614899","133359849","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468795","GSM1966515: single H9 hESCs differentiated for 96 hours [H9.96h_169]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193814","","112.14","1","3588039","182989989","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468794","GSM1966514: single H9 hESCs differentiated for 96 hours [H9.96h_168]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193815","","91.4","1","2909033","148360683","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468793","GSM1966513: single H9 hESCs differentiated for 96 hours [H9.96h_167]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193816","","81.41","1","2572587","131201937","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468792","GSM1966512: single H9 hESCs differentiated for 96 hours [H9.96h_166]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193575","","59.63","1","1863408","95033808","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468791","GSM1966511: single H9 hESCs differentiated for 96 hours [H9.96h_165]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193817","","48.03","1","1520032","77521632","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468790","GSM1966510: single H9 hESCs differentiated for 96 hours [H9.96h_164]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193820","","60.21","1","1893884","96588084","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468789","GSM1966509: single H9 hESCs differentiated for 96 hours [H9.96h_163]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193818","","89.4","1","2846127","145152477","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468788","GSM1966508: single H9 hESCs differentiated for 96 hours [H9.96h_162]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193819","","75.89","1","2393943","122091093","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468787","GSM1966507: single H9 hESCs differentiated for 96 hours [H9.96h_161]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193821","","72.83","1","2299861","117292911","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468786","GSM1966506: single H9 hESCs differentiated for 96 hours [H9.96h_160]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193822","","67.43","1","2134219","108845169","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468785","GSM1966505: single H9 hESCs differentiated for 96 hours [H9.96h_159]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193823","","70.28","1","2214628","112946028","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468784","GSM1966504: single H9 hESCs differentiated for 96 hours [H9.96h_158]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193824","","71.78","1","2192383","111811533","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468783","GSM1966503: single H9 hESCs differentiated for 96 hours [H9.96h_157]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193825","","102.59","1","3264538","166491438","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468782","GSM1966502: single H9 hESCs differentiated for 96 hours [H9.96h_156]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193826","","73.96","1","2335069","119088519","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468781","GSM1966501: single H9 hESCs differentiated for 96 hours [H9.96h_155]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193827","","73.16","1","2303363","117471513","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468780","GSM1966500: single H9 hESCs differentiated for 96 hours [H9.96h_154]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193828","","53.84","1","1681841","85773891","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468779","GSM1966499: single H9 hESCs differentiated for 96 hours [H9.96h_153]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193573","","41.38","1","1298323","66214473","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468778","GSM1966498: single H9 hESCs differentiated for 96 hours [H9.96h_152]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193829","","53.57","1","1675089","85429539","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468777","GSM1966497: single H9 hESCs differentiated for 96 hours [H9.96h_151]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193831","","69.91","1","2196198","112006098","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468776","GSM1966496: single H9 hESCs differentiated for 96 hours [H9.96h_150]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193830","","63.24","1","1994073","101697723","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468775","GSM1966495: single H9 hESCs differentiated for 96 hours [H9.96h_149]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193832","","57.08","1","1789931","91286481","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468774","GSM1966494: single H9 hESCs differentiated for 96 hours [H9.96h_148]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193833","","50.03","1","1517256","77380056","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468773","GSM1966493: single H9 hESCs differentiated for 96 hours [H9.96h_147]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193834","","66.54","1","2101439","107173389","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468772","GSM1966492: single H9 hESCs differentiated for 96 hours [H9.96h_146]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193835","","59.12","1","1815003","92565153","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468771","GSM1966491: single H9 hESCs differentiated for 96 hours [H9.96h_145]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193836","","83.53","1","2642411","134762961","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468770","GSM1966490: single H9 hESCs differentiated for 96 hours [H9.96h_144]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193837","","62.14","1","1968741","100405791","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468769","GSM1966489: single H9 hESCs differentiated for 96 hours [H9.96h_143]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193838","","60.01","1","1900906","96946206","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468768","GSM1966488: single H9 hESCs differentiated for 96 hours [H9.96h_142]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193839","","53.79","1","1683581","85862631","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468767","GSM1966487: single H9 hESCs differentiated for 96 hours [H9.96h_141]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193840","","53.12","1","1674037","85375887","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468766","GSM1966486: single H9 hESCs differentiated for 96 hours [H9.96h_140]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193841","","57.48","1","1809872","92303472","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468765","GSM1966485: single H9 hESCs differentiated for 96 hours [H9.96h_139]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193842","","68.63","1","2179498","111154398","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468764","GSM1966484: single H9 hESCs differentiated for 96 hours [H9.96h_138]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193843","","56.18","1","1775510","90551010","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468763","GSM1966483: single H9 hESCs differentiated for 96 hours [H9.96h_137]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193844","","55.09","1","1735507","88510857","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468762","GSM1966482: single H9 hESCs differentiated for 96 hours [H9.96h_136]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193845","","51.34","1","1615047","82367397","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468761","GSM1966481: single H9 hESCs differentiated for 96 hours [H9.96h_135]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193846","","73.32","1","2333247","118995597","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468760","GSM1966480: single H9 hESCs differentiated for 96 hours [H9.96h_134]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193572","","68.39","1","2174953","110922603","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468759","GSM1966479: single H9 hESCs differentiated for 96 hours [H9.96h_133]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193847","","86.99","1","2771993","141371643","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468758","GSM1966478: single H9 hESCs differentiated for 96 hours [H9.96h_132]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193849","","86.1","1","2680118","136686018","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468757","GSM1966477: single H9 hESCs differentiated for 96 hours [H9.96h_131]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193848","","87.46","1","2762853","140905503","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468756","GSM1966476: single H9 hESCs differentiated for 96 hours [H9.96h_130]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193850","","47.37","1","1423093","72577743","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468755","GSM1966475: single H9 hESCs differentiated for 96 hours [H9.96h_129]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193851","","36.84","1","1163271","59326821","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468754","GSM1966474: single H9 hESCs differentiated for 96 hours [H9.96h_128]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193854","","48.14","1","1504383","76723533","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468753","GSM1966473: single H9 hESCs differentiated for 96 hours [H9.96h_127]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193852","","77.69","1","2455865","125249115","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468752","GSM1966472: single H9 hESCs differentiated for 96 hours [H9.96h_126]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193853","","73.66","1","2304031","117505581","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468751","GSM1966471: single H9 hESCs differentiated for 96 hours [H9.96h_125]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193571","","69.1","1","2136705","108971955","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468750","GSM1966470: single H9 hESCs differentiated for 96 hours [H9.96h_124]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193856","","59.41","1","1868517","95294367","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468749","GSM1966469: single H9 hESCs differentiated for 96 hours [H9.96h_123]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193855","","60.13","1","1898121","96804171","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468748","GSM1966468: single H9 hESCs differentiated for 96 hours [H9.96h_122]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193570","","60.04","1","1810846","92353146","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468747","GSM1966467: single H9 hESCs differentiated for 96 hours [H9.96h_121]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193857","","86.78","1","2760797","140800647","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468746","GSM1966466: single H9 hESCs differentiated for 96 hours [H9.96h_120]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193858","","89.91","1","2813024","143464224","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468745","GSM1966465: single H9 hESCs differentiated for 96 hours [H9.96h_119]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193859","","60.24","1","1756996","89606796","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468744","GSM1966464: single H9 hESCs differentiated for 96 hours [H9.96h_118]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193861","","24.74","1","695402","35465502","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468743","GSM1966463: single H9 hESCs differentiated for 96 hours [H9.96h_117]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193862","","59.41","1","1888217","96299067","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468742","GSM1966462: single H9 hESCs differentiated for 96 hours [H9.96h_116]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193863","","40.16","1","1165669","59449119","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468741","GSM1966461: single H9 hESCs differentiated for 96 hours [H9.96h_115]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193864","","84.69","1","2696260","137509260","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468740","GSM1966460: single H9 hESCs differentiated for 96 hours [H9.96h_114]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193865","","81.99","1","2516011","128316561","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468739","GSM1966459: single H9 hESCs differentiated for 96 hours [H9.96h_113]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193866","","79.79","1","2523741","128710791","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
